1,BCRP,MDR1,MRP1,MRP2,MRP3,MRP4,MRP5,MRP6,MRP7,MRP8,MRP9,SMILES
ACCUPRIL; QUINAPRIL HYDROCHLORIDE,-8.5,-8.8,-7.2,-6.0,-8.2,-7.1,-9.8,-4.7,-4.4,-6.5,-10.2,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1Cc2ccccc2C[C@H]1C(=O)[O-]
ACCURBRON; THEOPHYLLINE,-5.5,-6.1,-3.9,-3.3,-3.8,-3.8,-4.1,-3.8,-4.0,-3.5,-3.2,Cn1c(=O)c2[nH]cnc2n(C)c1=O
ACCURETIC; HYDROCHLOROTHIAZIDE,-5.4,-6.2,-4.7,-3.4,-4.6,-4.8,-8.1,-4.2,-4.3,-5.4,-5.1,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O
ACEBUTOLOL HYDROCHLORIDE; ACEBUTOLOL HYDROCHLORIDE,-5.1,-8.6,-6.1,-4.5,-6.7,-6.8,-7.8,-6.1,-5.7,-5.9,-6.5,CCCC(=O)Nc1ccc(OC[C@@H](O)C[NH2+]C(C)C)c(C(C)=O)c1
ACEPHEN; ACETAMINOPHEN,-4.2,-4.3,-4.1,-3.5,-4.4,-3.0,-4.6,-4.0,-4.4,-3.1,-3.4,CC(=O)Nc1ccc(O)cc1
ACETADOTE; ACETYLCYSTEINE,-3.8,-3.5,-3.2,-3.2,-3.4,-5.8,-3.4,-4.1,-3.1,-5.3,-4.7,CC(=O)N[C@@H](CS)C(=O)[O-]
ACETAMINOPHEN AND CODEINE PHOSPHATE; CODEINE PHOSPHATE,-4.8,-8.2,-6.0,-3.0,-5.8,-6.4,-4.8,-4.1,-6.6,-4.2,-5.8,COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)[N@H+](C)CC[C@@]341
ACETAMINOPHEN AND HYDROCODONE BITARTRATE; HYDROCODONE BITARTRATE,-4.2,-6.3,-6.1,0.0,-5.5,-5.0,-5.3,-3.4,-5.6,-5.8,-4.6,COc1ccc2c3c1O[C@H]1C(=O)CC[C@H]4[C@@H](C2)[N@H+](C)CC[C@]314
ACETAMINOPHEN AND PENTAZOCINE HYDROCHLORIDE; PENTAZOCINE HYDROCHLORIDE,-3.1,-8.2,-5.8,-3.9,-6.9,-5.1,-5.7,-5.4,-5.4,-5.4,-5.1,CC(C)=CC[N@H+]1CC[C@@]2(C)c3cc(O)ccc3C[C@@H]1[C@@H]2C
"ACETAMINOPHEN, ASPIRIN AND CAFFEINE; CAFFEINE",-5.8,-4.6,-3.6,-3.0,-4.0,-3.2,-3.1,-3.1,-3.3,-3.7,-3.4,Cn1c(=O)c2c(ncn2C)n(C)c1=O
ACETASOL HC; HYDROCORTISONE,-6.0,-8.1,-6.4,-7.7,-5.9,-7.4,-6.4,-5.6,-5.5,-3.9,-7.4,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO
ACETATED RINGER'S IN PLASTIC CONTAINER; SODIUM ACETATE,-2.3,-2.0,-3.5,-3.7,-2.0,-4.9,-8.6,-1.7,-1.5,-3.9,-3.6,CC(=O)[O-]
ACETAZOLAMIDE; ACETAZOLAMIDE,-6.5,-4.5,-4.4,-3.7,-4.1,-3.9,-6.0,-4.1,-3.7,-5.2,-4.2,C/C(O)=N/c1nnc(S([NH-])(=O)=O)s1
ACHES-N-PAIN; IBUPROFEN,-6.6,-5.3,-5.8,-4.3,-4.7,-6.9,-10.7,-4.2,-3.6,-5.9,-6.8,CC(C)Cc1ccc([C@@H](C)C(=O)[O-])cc1
ACHROMYCIN; PROCAINE HYDROCHLORIDE,-11.6,-8.5,-8.1,-6.0,-7.2,-7.5,-9.0,-5.9,-5.6,-7.6,-7.8,O=c1c2ccc(-c3cccnc3)cc2n2nc(-c3ccccc3)cc2n1CCO
ACHROMYCIN; TETRACYCLINE HYDROCHLORIDE,-5.9,-7.0,-6.8,-5.6,-7.5,-5.8,-9.4,-6.6,-3.5,-4.8,-7.0,CN(C)[C@@H]1C(=O)C(C(N)=O)=C([O-])[C@@]2(O)C(=O)C3=C([O-])c4c(O)cccc4[C@@](C)(O)[C@@H]3C[C@@H]12
ACILAC; LACTULOSE,-9.9,-10.1,-9.5,-7.9,-7.6,-8.8,-9.1,-9.2,-9.9,-9.4,-8.6,OC[C@H]1O[C@@H](O[C@@H]2[C@@H](CO)O[C@](O)(CO)[C@H]2O)[C@H](O)[C@@H](O)[C@H]1O
ACOVA; ARGATROBAN,-8.9,-13.8,-8.2,-6.7,-9.4,-9.3,-12.3,-4.6,-6.6,-7.9,-9.4,C[C@@H]1CNc2c(cccc2S(=O)(=O)N[C@@H](CCCNC(N)=[NH2+])C(=O)N2CC[C@@H](C)C[C@@H]2C(=O)[O-])C1
ACTAHIST; PSEUDOEPHEDRINE HYDROCHLORIDE,-4.8,-5.2,-4.7,-3.6,-4.8,-4.2,-4.5,-4.5,-4.6,-3.9,-4.5,C[NH2+][C@@H](C)[C@@H](O)c1ccccc1
ACTAHIST; TRIPROLIDINE HYDROCHLORIDE,-5.0,-7.6,-5.1,-3.0,-6.4,-5.2,-6.5,-4.8,-3.9,-5.0,-2.6,Cc1ccc(/C(=C\C[NH+]2CCCC2)c2ccccn2)cc1
ACTICLATE CAP; DOXYCYCLINE HYCLATE,-9.3,-9.1,-8.9,-8.3,-8.5,-8.6,-10.5,-7.3,-6.6,-6.9,-6.2,C[C@H]1c2cccc(O)c2C(=O)C2=C([O-])[C@]3(O)C([O-])=C(C(N)=O)C(=O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@H]21
ACTIGALL; URSODIOL,-6.3,-9.6,-6.5,-5.3,-4.8,-8.5,-12.1,-3.6,-4.8,-2.9,-8.5,C[C@H](CCC(=O)[O-])[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
ACTIN-N; NITROFURAZONE,-5.2,-5.1,-4.2,-3.9,-4.1,-4.9,-4.7,-3.8,-4.5,-3.8,-4.7,NC(=O)N/N=C/c1ccc([N+](=O)[O-])o1
ACTINEX; MASOPROCOL,-12.0,-9.7,-8.5,-8.5,-8.7,-7.9,-8.8,-8.0,-9.0,-8.9,-7.6,C[C@H](Cc1ccc(O)c(O)c1)[C@@H](C)Cc1ccc(O)c(O)c1
ACTIVELLA; ESTRADIOL,-8.8,-9.0,-7.6,-6.2,-7.1,-6.7,-7.0,-5.3,-5.6,-7.2,-7.0,Oc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2(O)[C@@H](O)CC[C@@H]12
ACTOPLUS MET; METFORMIN HYDROCHLORIDE,-1.9,-2.8,-3.6,-1.9,-2.6,-3.3,-1.8,-3.4,-3.2,-3.1,-2.7,CN(C)C(=[NH2+])N=C(N)N
ACTOPLUS MET; PIOGLITAZONE HYDROCHLORIDE,-10.6,-8.8,-7.5,-7.3,-7.6,-9.2,-9.0,-5.9,-5.3,-7.0,-7.9,CCc1ccc(CCOc2ccc(C[C@H]3SC(=O)[N-]C3=O)cc2)nc1
ACTRON; KETOPROFEN,-8.7,-7.3,-5.7,-4.6,-6.3,-7.8,-12.5,-4.5,-4.4,-5.8,-8.8,C[C@H](C(=O)[O-])c1cccc(C(=O)c2ccccc2)c1
ACYCLOVIR; ACYCLOVIR,-6.2,-5.1,-4.6,-7.9,-8.1,-4.9,-6.0,-3.1,-5.7,-4.1,-5.1,Nc1nc2c(ncn2COCCO)c(=O)[nH]1
ACZONE; DAPSONE,-6.1,-7.4,-5.5,-5.6,-5.9,-6.1,-4.4,-4.1,-5.0,-4.8,-5.8,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1
ADALAT CC; NIFEDIPINE,-5.6,-8.7,-7.7,-6.2,-6.1,-5.7,-7.4,-3.8,-5.1,-5.6,-5.7,C=C1N=C(C)[C@H](C(=O)OC)[C@H](c2ccccc2[N+](=O)[O-])[C@H]1C(=O)OC
ADAPALENE; ADAPALENE,-10.4,-9.1,-7.1,-5.4,-6.6,-6.5,-7.8,-4.3,-4.6,-5.9,-7.2,COc1ccc(-c2ccc3cc(C(=O)[O-])ccc3c2)cc1[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2
ADASUVE; LOXAPINE,-5.0,-8.6,-4.5,-4.7,-4.6,-5.8,-5.4,-4.0,-4.4,-3.3,-5.5,C[NH+]1CCN(C2=Nc3ccccc3Oc3ccc(Cl)cc32)CC1
ADCIRCA; TADALAFIL,-7.8,0.0,0.0,-4.4,-3.4,-5.4,-4.3,-1.9,-1.9,-3.4,0.0,CN1CC(=O)N2[C@H](c3ccc4c(c3)OCO4)c3[nH]c4ccccc4c3C[C@@H]2C1=O
ADDERALL 10; AMPHETAMINE ASPARTATE,-2.5,-2.2,-3.1,-3.5,-4.0,-4.7,-5.5,-2.9,-1.4,-4.3,-4.0,[NH3+][C@@H](CC(=O)[O-])C(=O)[O-]
ADDERALL 10; AMPHETAMINE SULFATE,-4.6,-5.0,-4.2,-2.8,-5.0,-5.3,-3.9,-4.7,-4.2,-4.7,-5.3,C[C@@H]([NH3+])Cc1ccccc1
ADENOCARD; ADENOSINE,-7.2,-6.4,-7.0,-9.1,-6.3,-6.8,-7.7,-6.1,-5.8,-6.2,-7.3,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
ADIPEX-P; PHENTERMINE HYDROCHLORIDE,-4.8,-5.2,-3.8,-2.9,-4.8,-4.3,-3.8,-4.2,-4.3,-4.0,-3.1,CC(C)([NH3+])Cc1ccccc1
ADRENACLICK; EPINEPHRINE,-7.4,-6.8,-6.1,-5.1,-6.5,-9.1,-12.0,-6.1,-6.4,-6.4,-7.0,C[NH2+]C[C@H](O)c1ccc(O)c(O)c1
ADRIAMYCIN PFS; DOXORUBICIN HYDROCHLORIDE,-9.7,-11.4,-9.3,-9.2,-9.4,-10.8,-11.2,-8.4,-6.9,-8.0,-8.8,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H]([NH3+])[C@H](O)[C@H](C)O1
ADRUCIL; FLUOROURACIL,-5.2,-4.6,-6.3,-3.4,-3.4,-5.7,-5.9,-4.7,-3.1,-4.1,-4.8,O=c1[n-]cc(F)c(=O)[nH]1
ADVAIR DISKUS 100/50; FLUTICASONE PROPIONATE,-4.6,-4.6,-5.7,-5.4,-4.7,-6.3,-6.6,-4.0,-3.6,-3.5,-7.2,CCC(=O)O[C@]1(C(=O)SCF)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C
ADVAIR DISKUS 100/50; SALMETEROL XINAFOATE,-8.1,-7.7,-7.0,-6.8,-8.5,-8.7,-7.9,-7.0,-5.9,-5.6,-6.8,OCc1cc([C@@H](O)C[NH2+]CCCCCCOCCCCc2ccccc2)ccc1O
ADVICOR; LOVASTATIN,-8.6,-8.8,-6.1,-5.6,-4.6,-6.2,-7.4,-4.4,-4.9,-4.8,-6.7,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21
ADVICOR; NIACIN,-3.6,-4.5,-3.8,-2.2,-2.6,-5.1,-6.0,-3.4,-2.6,-2.6,-6.3,O=C([O-])c1cccnc1
ADVIL ALLERGY AND CONGESTION RELIEF; CHLORPHENIRAMINE MALEATE,-3.5,-6.1,-5.1,-3.1,-3.9,-6.1,-6.2,-4.1,-4.5,-5.3,-6.3,C[NH+](C)CC[C@H](c1ccc(Cl)cc1)c1ccccn1
ADVIL ALLERGY AND CONGESTION RELIEF; PHENYLEPHRINE HYDROCHLORIDE,-5.1,-5.3,-4.8,-3.1,-4.3,-5.0,-5.0,-5.0,-4.7,-4.3,-4.5,C[NH2+]C[C@H](O)c1cccc(O)c1
ADVIL PM; DIPHENHYDRAMINE CITRATE,-7.7,-7.2,-4.3,-3.5,-3.7,-5.6,-5.2,-4.1,-4.8,-4.9,-5.2,CN(C)CCOC(c1ccccc1)c1ccccc1
ADVIL; IBUPROFEN SODIUM,-6.7,-6.1,-5.5,-4.0,-4.5,-6.9,-6.4,-3.8,-3.6,-4.9,-6.3,CC(C)Cc1ccc([C@@H](C)C(=O)[O-])cc1
AEROLONE; ISOPROTERENOL HYDROCHLORIDE,-6.9,-8.4,-5.7,-4.7,-6.3,-6.4,-5.8,-6.8,-5.8,-5.6,-5.7,CC(C)[NH2+]C[C@@H](O)c1ccc(O)c(O)c1
AEROSEB-DEX; DEXAMETHASONE,-4.9,-6.8,-6.3,-4.7,-5.7,-7.6,-6.8,-4.5,-5.2,-4.2,-7.0,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
AGENERASE; AMPRENAVIR,-9.1,-10.3,-5.7,-5.9,-7.0,-6.8,-7.7,-6.3,-7.0,-6.1,-6.6,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1
AGGRASTAT; TIROFIBAN HYDROCHLORIDE,-6.1,-9.4,-5.0,-8.2,-5.6,-9.9,-11.3,-4.9,-5.4,-7.1,-9.0,CCCCS(=O)(=O)N[C@@H](Cc1ccc(OCCCCC2CC[NH2+]CC2)cc1)C(=O)[O-]
AGGRENOX; DIPYRIDAMOLE,-10.4,-7.4,-6.3,-4.0,-7.3,-7.5,-6.6,-4.6,-6.1,-5.5,-6.9,OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1
AK-PENTOLATE; CYCLOPENTOLATE HYDROCHLORIDE,-6.5,-7.0,-4.0,-5.0,-4.5,-5.3,-6.0,-4.0,-4.8,-6.2,-5.1,C[NH+](C)CCOC(=O)[C@H](c1ccccc1)C1(O)CCCC1
AKINETON; BIPERIDEN HYDROCHLORIDE,-6.9,-8.1,-5.6,-4.1,-6.1,-7.1,-7.4,-6.3,-4.9,-4.7,-6.3,O[C@@](CC[NH+]1CCCCC1)(c1ccccc1)[C@H]1C[C@@H]2C=C[C@H]1C2
AKNE-MYCIN; ERYTHROMYCIN,0.0,-4.4,-1.9,-5.0,0.0,0.0,-5.8,-3.3,-4.2,-1.6,-1.8,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H]([NH+](C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O
AKRINOL; ACRISORCIN,-7.5,-6.4,-4.7,-3.4,-4.8,-4.0,-4.9,-3.8,-5.2,-4.0,-4.2,CCCCCCc1ccc(O)cc1O
AKTEN; LIDOCAINE HYDROCHLORIDE,-7.4,-7.1,-4.3,-3.9,-3.9,-3.4,-3.6,-2.9,-3.7,-4.3,-4.7,CCN(CC)CC(=O)Nc1c(C)cccc1C
AKTOB; TOBRAMYCIN,-6.0,-6.5,-4.9,-4.3,-5.8,-9.2,-9.6,-7.1,-5.8,-7.5,-5.9,N[C@@H]1C[C@H]([NH3+])[C@@H](O[C@H]2O[C@H](C[NH3+])[C@@H](O)C[C@H]2[NH3+])[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H]([NH3+])[C@H]1O
ALAVERT; LORATADINE,-7.7,-8.1,-5.7,-4.3,-5.0,-6.4,-7.4,-4.4,-4.8,-5.6,-6.0,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1
ALAWAY; KETOTIFEN FUMARATE,-6.5,-5.3,-5.2,-3.4,-4.9,-5.1,-5.8,-2.8,-4.5,-2.8,-5.9,CN1CCC(=C2c3ccccc3CC(=O)c3sccc32)CC1
ALBALON; NAPHAZOLINE HYDROCHLORIDE,-5.4,-5.0,-4.2,-3.8,-4.2,-4.9,-4.8,-2.0,-4.1,-4.4,-5.2,c1ccc2c(CC3=[NH+]CCN3)cccc2c1
ALBENZA; ALBENDAZOLE,-7.2,-7.2,-5.2,-4.8,-4.6,-4.2,-6.8,-4.8,-4.0,-4.3,-5.4,CCCSc1ccc2[nH]/c(=N\C(=O)OC)[nH]c2c1
ALBUTEROL SULFATE AND IPRATROPIUM BROMIDE; IPRATROPIUM BROMIDE,-7.8,-8.4,-6.7,-5.7,-6.2,-6.8,-7.1,-5.2,-6.9,-6.3,-7.0,CC(C)[N@@+]1(C)[C@@H]2CC[C@H]1C[C@@H](OC(=O)[C@H](CO)c1ccccc1)C2
ALCAINE; PROPARACAINE HYDROCHLORIDE,-7.4,-9.0,-5.5,-4.2,-5.5,-5.7,-5.9,-4.1,-4.4,-4.6,-6.7,Nc1ccc(Nc2cccc(C(F)(F)F)c2)cc1
ALCOHOL 10% AND DEXTROSE 5%; DEXTROSE,-8.1,-6.7,-6.5,-5.0,-6.5,-7.1,-7.7,-6.8,-6.3,-5.0,-6.1,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O
ALDACTAZIDE; SPIRONOLACTONE,-4.6,-8.4,-6.4,-3.7,-1.9,-4.3,-6.5,-4.3,-4.5,-3.8,-6.3,CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@]34CCC(=O)O4)[C@H]12
ALDARA; IMIQUIMOD,-7.7,-6.4,-4.9,-4.4,-6.6,-4.9,-5.5,-5.3,-5.0,-4.8,-7.3,CC(C)Cn1cnc2c(N)nc3ccccc3c21
ALDOCLOR-150; CHLOROTHIAZIDE,-5.9,-6.1,-4.8,-4.3,-4.9,-4.9,-6.1,-4.2,-4.4,-6.2,-5.0,NS(=O)(=O)c1cc2c(cc1Cl)NC=NS2(=O)=O
ALDOCLOR-150; METHYLDOPA,-6.3,-6.0,-6.0,-5.2,-5.0,-4.0,-6.8,-6.3,-5.5,-4.5,-5.9,C[C@]([NH3+])(Cc1ccc(O)c(O)c1)C(=O)[O-]
ALESSE; ETHINYL ESTRADIOL,-5.6,-8.3,-6.5,-5.8,-5.5,-6.6,-7.1,-5.0,-4.2,-6.8,-6.4,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C
ALESSE; LEVONORGESTREL,-5.4,-7.3,-6.0,-4.8,-4.5,-6.0,-5.5,-3.7,-4.2,-3.8,-5.1,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC
ALFENTA; ALFENTANIL HYDROCHLORIDE,-5.7,-6.6,-5.4,-5.5,-5.3,-5.2,-5.8,-5.4,-5.0,-4.8,-5.3,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1
ALFUZOSIN HYDROCHLORIDE; ALFUZOSIN HYDROCHLORIDE,-4.8,-7.0,-6.0,-5.8,-5.2,-4.6,-5.4,-4.7,-5.0,-5.4,-6.9,COc1cc2[nH+]c(N(C)CCCNC(=O)[C@H]3CCCO3)nc(N)c2cc1OC
ALIMTA; PEMETREXED,-10.5,-11.0,-7.9,-8.0,-8.0,-9.1,-12.2,-6.8,-7.3,-8.6,-9.0,Nc1nc2[nH]cc(CCc3ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc3)c2c(=O)[nH]1
ALINIA; NITAZOXANIDE,-6.0,-6.5,-5.3,-4.8,-5.0,-5.1,-5.9,-4.2,-4.4,-4.6,-6.1,CC(=O)Oc1ccccc1C(=O)Nc1ncc([N+](=O)[O-])s1
ALKERAN; MELPHALAN,-6.2,-6.3,-5.5,-5.7,-5.5,-6.6,-6.4,-3.3,-4.9,-5.9,-6.0,[NH3+][C@@H](Cc1ccc(N(CCCl)CCCl)cc1)C(=O)[O-]
ALLEGRA ALLERGY; FEXOFENADINE HYDROCHLORIDE,-6.2,-8.4,-7.6,-6.8,-7.0,-8.7,-9.9,-5.9,-7.0,-6.4,-8.1,CC(C)(C(=O)[O-])c1ccc([C@H](O)CCC[NH+]2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1
ALLERNAZE; TRIAMCINOLONE ACETONIDE,-6.2,-6.0,-5.1,-3.0,-5.0,-5.8,-4.8,-3.7,-4.6,-5.1,-5.2,CCN(C1CCCCC1)S(=O)(=O)c1cc(C)ccc1OC
ALLI; ORLISTAT,-10.4,-7.8,-5.9,-5.9,-5.9,-6.0,-7.2,-6.6,-3.6,-5.9,-6.3,CCCCCCCCCCC[C@@H](C[C@@H]1OC(=O)[C@H]1CCCCCC)OC(=O)[C@H](CC(C)C)NC=O
ALLOPURINOL; ALLOPURINOL,-4.7,-3.9,-3.7,-4.5,-3.5,-3.3,-4.9,-3.4,-3.3,-2.9,-5.3,O=C1N=CN=C2N=NC=C12
ALOXI; PALONOSETRON HYDROCHLORIDE,-5.8,-8.7,-4.9,-4.2,-4.6,-5.5,-7.2,-3.6,-3.0,-5.3,-6.6,O=C1c2cccc3c2[C@H](CCC3)CN1[C@@H]1C[N@H+]2CC[C@@H]1CC2
ALPHADERM; UREA,-2.8,-2.5,-2.7,-2.5,-2.9,-2.7,-2.9,-3.4,-3.3,-2.2,-3.2,NC(N)=O
ALPHAGAN; BRIMONIDINE TARTRATE,-6.4,-7.5,-5.4,-6.4,-5.5,-5.3,-6.8,-3.2,-3.6,-4.4,-4.1,Brc1c(N=C2NCCN2)ccc2nccnc12
ALPHATREX; BETAMETHASONE DIPROPIONATE,-5.0,-7.6,-6.1,-4.3,-4.7,-6.5,-6.3,-4.4,-3.6,-3.6,-4.0,CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C
ALPRAZOLAM; ALPRAZOLAM,-6.0,-7.1,-4.8,-4.6,-5.8,-5.4,-5.6,-3.8,-4.6,-4.5,-5.9,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2
ALPROSTADIL; ALPROSTADIL,-9.5,-7.6,-6.0,-8.6,-7.2,-9.5,-10.3,-4.5,-5.2,-7.7,-7.5,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)[O-]
ALSUMA; SUMATRIPTAN SUCCINATE,-5.1,-6.5,-5.7,-4.7,-5.7,-5.7,-5.7,-4.8,-4.6,-3.3,-5.6,CNS(=O)(=O)Cc1ccc2[nH]cc(CC[NH+](C)C)c2c1
ALTACE; RAMIPRIL,-7.3,-8.4,-5.6,-5.8,-6.3,-8.1,-12.0,-5.1,-5.5,-7.4,-9.3,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H](C(=O)[O-])C[C@@H]2CCC[C@@H]21
ALUPENT; METAPROTERENOL SULFATE,-7.4,-6.0,-4.6,-6.1,-4.6,-5.4,-5.8,-6.2,-5.4,-5.2,-4.8,CC(C)[NH2+]C[C@@H](O)c1cc([O-])cc(O)c1
ALYACEN 1/35; NORETHINDRONE,-7.4,-8.2,-6.1,-3.8,-4.4,-5.7,-6.0,-4.1,-4.0,-3.6,-6.1,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C
AMANTADINE HYDROCHLORIDE; AMANTADINE HYDROCHLORIDE,0.0,-2.0,-3.6,0.0,-1.7,0.0,-1.3,-1.2,-3.4,-3.1,-1.5,[NH3+][C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2
